Record ID;Nome do negócio;Etapa do negócio; Valor ;Data de criação;Proprietário do negócio;Data de fechamento;Produtos;Tipo de Faturamento;Associated Company;Origem do Negócio;Data da Reunião Realizada;Data de Envio da Proposta;Data da Última Atividade de Vendas;Tamanho da frota;Pipeline;Associated Company IDs
12141172271;Hospital Israelita Albert Einstein - YDI - Piloto;90% - Proposta aprovada; R$ 23.000,00 ;2023-02-13 17:13;Ricardo Bifulco;2023-05-31 18:01;Exp - Projeto - YDI;Transacional;Hospital Israelita Albert Einstein;Indicação SDR - Vanusa;2023-02-16;2023-02-16;2023-03-30;de 200 a 300;Pipeline de Oportunidades - Younder;4112522957
12445645114;Leão Alimentos e Bebidas -DH Humanizado 02 turma FV e Liderança 80 condutores frota leve;80% - Proposta em compras; R$ 17.595,00 ;2023-03-08 10:46;Ellen Barros Agostinho;2023-06-30 16:01;EXP - Teórico - DH;Transacional;Leão Alimentos e Bebidas;Outbound - Próprio;2023-03-08;2023-03-08;2023-04-12;de 100 a 200;Pipeline de Oportunidades - Younder;6817066066
11661090723;Verde Alagoas - YDI - pratica;80% - Proposta em compras; R$ 47.880,00 ;2023-01-11 13:21;Ricardo Bifulco;2023-06-30 15:35;Exp - Projeto - YDI;Transacional;Verde Alagoas;Outbound - Próprio;2023-01-04;2023-01-04;2023-05-08;de 200 a 300;Pipeline de Oportunidades - Younder;10479076165
11661104286;Verde Alagoas- DIgital Humanizado;80% - Proposta em compras; R$ 26.100,00 ;2023-01-03 13:20;Ricardo Bifulco;2023-06-30 15:35;EXP - Teórico - DH;Transacional;Verde Alagoas;Outbound - Próprio;2023-01-03;2023-01-10;2023-05-08;de 200 a 300;Pipeline de Oportunidades - Younder;10479076165
10896142725;COCA COLA FEMSA - DH Multiplicador de Elite;80% - Proposta em compras; R$ 67.200,00 ;2022-11-10 10:11;Ellen Barros Agostinho;2023-09-29 13:23;EXP - Teórico - DH;Transacional;COCA-COLA FEMSA;Indicação de Cliente;;2022-11-10;2023-04-26;;Pipeline de Oportunidades - Younder;2248477817
13160543929;Nestlé - Digital Humanizado - Consultores;70% - Proposta em aprovação; R$ 77.970,00 ;2023-04-27 12:39;Ricardo Bifulco;2023-06-30 15:35;EXP - Teórico - DH;Transacional;Nestlé;Outbound - Próprio;2023-04-04;2023-04-11;2023-04-27;acima de 1000;Pipeline de Oportunidades - Younder;1393995602
12627095716;Pepsico - Talent Processo Seletivo;70% - Proposta em aprovação; R$ 64.675,96 ;2023-03-20 13:42;Ellen Barros Agostinho;2023-09-29 16:01;Exp - Projeto - YDI;Transacional;Pepsico;Outbound - Próprio;2023-03-20;2023-03-20;2023-04-12;acima de 500;Pipeline de Oportunidades - Younder;2823741955
12582055435;Eli Lilly and Company -YDI DH 2023 - Frota Leve - 72 DH + 170 YDI;70% - Proposta em aprovação; R$ 144.999,99 ;2023-03-17 15:36;Ellen Barros Agostinho;2023-06-30 15:57;Exp - Projeto - YDI;Transacional;Eli Lilly and Company;Outbound - Próprio;2023-03-17;2023-03-17;2023-05-02;de 100 a 200;Pipeline de Oportunidades - Younder;8874834289
11344797049;Nestlé - DYI -  consutores ;70% - Proposta em aprovação; R$ 175.630,00 ;2022-12-13 11:29;Ricardo Bifulco;2023-05-31 12:38;Exp - Projeto - YDI;Transacional;Nestlé;Outbound - Próprio;2022-12-13;2022-12-13;2023-03-15;acima de 1000;Pipeline de Oportunidades - Younder;1393995602
10517278524;i.Systems - Ydi;70% - Proposta em aprovação; R$ 68.485,99 ;2022-10-03 15:56;Paulo Dudjak;2023-05-31 14:04;Exp - Projeto - YDI;Transacional;Info Systems, Inc;Indicação - SDR Tatiane;2022-10-03;2022-10-03;2023-05-10;de 100 a 200;Pipeline de Oportunidades - Younder;15664943421
